,to_pick,plate_number,row,column
peptide,,,,
13,104,1,B,10
28,104,1,C,2
29,104,1,C,3
32,104,1,C,6
35,104,1,C,9
40,104,1,D,2
45,104,1,D,7
82,104,1,G,8
91,104,1,H,5
92,104,1,H,6
94,104,1,H,8
142,104,2,D,8
146,104,2,E,11
148,104,2,E,2
157,104,2,F,10
172,104,2,G,2
187,104,2,H,5
188,104,2,H,6
1,86,1,A,10
3,86,1,A,12
8,86,1,A,6
10,86,1,A,8
11,86,1,A,9
26,86,1,C,11
31,86,1,C,5
53,86,1,E,3
54,86,1,E,4
63,86,1,F,12
68,86,1,F,6
69,86,1,F,7
70,86,1,F,8
84,86,1,H,1
138,86,2,D,4
140,86,2,D,6
152,86,2,E,6
164,86,2,F,6
175,86,2,G,5
177,86,2,G,7
178,86,2,G,8
